ID,经济信息.SteamID,名称,类型,等级,星舰介绍文案,生命,射程,最大前进速度,隐蔽,吨位,引擎出力,空,*WQZ1 名,炮塔数,WQZ1 射速,WQZ1 扩散系数,*WQZ2 名,炮塔数,WQZ2 射速,WQZ2 扩散系数,*WQZ3 名,炮塔数,WQZ3 射速,WQZ3 扩散系数,AA,炮塔数,射程,空,舰船描述 值=0就无此词条,生存描述,值,火力描述,值,机动描述,值,隐蔽描述,值,防空描述,值,舰载机描述,值,舰载导弹描述,值,舰载鱼雷描述,值,空
AFKship,0,观光船,???,10,观光船，由dd01改进得来， 没有任何战斗手段,11451,10,1750,50,150000,1.5,/,单装速射炮,2,2,1,/,0,/,/,/,0,/,/,/,/,/,/,/,生命值: 11451吨位: 150000,9,,16,引擎功率: 1.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 175最大后退速度: 35最大左翻滚速度: 0.1最大右翻滚速度: 0.1,37,星舰被发现距离: 50,73,???,0,???,0,???,0,???,0,/
AIdefault_net,0,AIdefault_net,???,1,为了应对各种战斗情况，在1A的基础上增加了一座炮塔，火力得到加强。,9640,10,17.5,100,150000,1.1,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
BB01AT9,0,战列01A IX,???,9,装甲强力的战列舰,120000,10,17.5,250,1000000,0.8,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
BB02A,0,战列01A,???,2,装甲强力的战列舰,36000,10,17.5,200,350000,0.8,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
CL01AT9 TJ2,0,突击巡洋1,???,9,火力强劲的老式巡洋舰。,56000,10,17.5,130,250000,1.25,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
CL02AT9,0,CL02A IX,???,9,高速巡洋舰，在01B高速驱逐舰的基础上继续改进引擎与增加炮塔。,26800,10,17.5,240,250000,1.1,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
JJBB01T,0,狙击BBtest,???,9,狙击特化战列舰,96000,10,17.5,180,700000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,生命值: 96000吨位: 700000,99,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
JR01,0,军刃ST1,???,9,"全名战争军刃 是泰坦联合体的制式战列舰。有着多种型号的外挂组件，通过外挂组件的添加，军刃级可以提供非常灵活的战术支援。
导弹反舰型号
搭载了大量的反旗舰导弹，可以对其舰群造成饱和式打击。同时通过友军的制导可以打击到更远的敌军。
轴炮型号
装载了两门大口径轴炮，在充分充能的情况下可以对敌方同级舰船造成毁灭性的打击，但同样的散热系统散出极高的热量辐射也让他必须在舰队的掩护下才能安全输出。",92288,10,17.5,210,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
MAAU01_1,0,奥斯汀侯爵级,???,9,威赫斯帝国的标准战列舰，以优秀的机动性和火力输出能力文明与世界。同时宽大的船体可以塞下各类武器。尽管配备了相当体积的装甲防护，可以为舰船提供相当的火炮防御，但其未获得装甲板保护的地方其防御能力相当孱弱。,72897,10,17.5,250,960000,0.5,/,340 实弹炮 1型 N,6,6,30,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
MAAU01_2改 Variant,0,奥斯汀侯爵级-2,???,9,威赫斯帝国的标准战列舰，以优秀的机动性和火力输出能力文明与世界。同时宽大的船体可以塞下各类武器。尽管配备了相当体积的装甲防护，可以为舰船提供相当的火炮防御，但其未获得装甲板保护的地方其防御能力相当孱弱。,72897,10,28,250,960000,0.5,/,2700 实弹炮 1型 N,7,7,45,/,0,/,/,/,0,/,/,/,/,/,/,/,生命值: 72897吨位: 960000,62,,58,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 2.8最大后退速度: 1.75最大左翻滚速度: 0.1最大右翻滚速度: 0.1,24,星舰被发现距离: 250,30,???,0,???,0,???,0,???,0,/
SD_S1,0,少盾 A1t1,航空战列舰,5,<color=Red> 测试舰船 </color>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少盾 A1t1 舰载机平台,,,,,白羽帝国的制式舰队航母，其强大的泛用性和舰队维护能力，让少盾级如同他的名字一样成为了舰队最后的盾牌。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66890,10,28,280,1000000,0.4,/,2700 实弹炮 1型,5,5,15,/,0,/,/,/,0,/,/,/,/,/,/,/,生命值: 66890吨位: 1000000,40,1200双联装 x5,27,引擎功率: 0.4最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 2.8最大后退速度: 1.575最大左翻滚速度: 0.1最大右翻滚速度: 0.1,21,星舰被发现距离: 280,16,???,0,1中队 ap ,,,,,,,,,,,
1中队 ap ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1中队 ap ,62,???,0,???,0,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJBB01T,0,突击BBtest 1,???,9,突击特化战列舰,120000,10,17.5,210,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
TJBB02T,0,突击BBtest 2,???,9,突击特化战列舰,120000,10,17.5,210,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
TJBB03T,0,突击BBtest 3,???,9,突击特化战列舰,120000,10,17.5,210,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
UNX,0,UNX,???,10,搭载了太阳神动力炉 可以为各类武器提供非常 充足的能源供应,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92288,10,44.8,200,800000,0.5,/,UNX 火炮,2,2,10,DDPA,1,50,0,/,0,/,/,/,/,/,/,/,生命值: 92288吨位: 800000,17,,13,不用填写,0,星舰被发现距离: 200,72,???,0,???,0,,27,???,0,/,,,,,
UNX 鱼雷,0,UNX-T,???,10,搭载了太阳神动力炉 可以为各类武器提供非常 充足的能源供应,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32248,10,44.8,155,800000,0.8,/,UNX 火炮,2,10,0.1,DDPA,1,10,0,/,0,/,/,/,/,/,/,/,生命值: 32248吨位: 800000,17,,13,不用填写,0,星舰被发现距离: 155,72,???,0,???,0,,27,???,0,/,,,,,
安修亚,0,安修亚,???,10,希和帝国开发的一型先进巡洋舰，其强大的火力可以为舰队提供相当可观的火力支援。在舰船腹部列装的奥尔丁主动防御系统和海利尔康综合武库系统并配合中后部列装的奥法传感整列，让安修亚可以在很远的距离上捕获来敌目标并予以打击。外加上希和总署家喻户晓的精准火炮控制系统和协调能力，安修亚在远洋护卫方面拥有着出色表现。同时配合舰队数据链共享，一艘安修亚级巡洋舰的奥法传感整列就能为整个舰队的防御系统提供索敌和指引 大大提高了舰队整体的火力。,92288,10,21,280,800000,0.5,/,1200 实弹炮 1型 N (8),9,12,0.12,鱼雷三连发射器 N,6,90,0,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
小飞机中队,0,小飞机中队,???,10,小飞机中队,3000,10,700,100,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
窝星起源0.1 浓缩 强攻,0,<color=Yellow>浓缩起源j</color>,远火巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,28000,10,57.75,160,350000,0.5,/,SUB 520,5,3,0.095,/,0,/,/,/,0,/,/,/,/,/,/,/,生命值: 28000吨位: 350000,45,,53,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 5.775最大后退速度: 4.2最大左翻滚速度: 0.1最大右翻滚速度: 0.1,43,星舰被发现距离: 160,41,???,0,???,0,???,0,???,0,/
窝星起源0.1 浓缩 烟雾,0,<color=Yellow>浓缩起源R</color>,远火巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,28000,10,57.75,150,350000,0.5,/,SUB 520,5,12,0.095,5连装导弹发射器 Variant (1),2,60,0.2,/,0,/,/,/,/,/,/,/,生命值: 28000吨位: 350000,45,,53,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 5.775最大后退速度: 4.2最大左翻滚速度: 0.1最大右翻滚速度: 0.1,43,星舰被发现距离: 150,41,???,0,???,0,???,0,???,0,/
窝星起源01,0,窝星起源01,远火巡洋舰,10,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,82000,10,40.95,210,800000,0.5,/,起源主炮,5,10,1,/,0,/,/,/,0,/,/,AAguns,9,130,/,/,生命值: 82000吨位: 800000,45,,53,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 4.095最大后退速度: 2.485最大左翻滚速度: 0.1最大右翻滚速度: 0.1,43,星舰被发现距离: 210,41,???,0,???,0,???,0,???,0,/
窝星起源01 B,0,<color=Blue>起源B</color>,远火巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,79000,10,40.95,180,800000,0.5,/,起源主炮,5,9.5,0.09,/,0,/,/,/,0,/,/,AAguns,9,130,/,/,生命值: 79000吨位: 800000,45,,53,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 4.095最大后退速度: 2.485最大左翻滚速度: 0.1最大右翻滚速度: 0.1,43,星舰被发现距离: 180,41,???,0,???,0,???,0,???,0,/
窝星起源01 近战,0,<color=Yellow>起源C</color>,强袭巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,98000,10,42,220,800000,0.5,/,起源主炮,5,7,0.25,/,0,/,/,/,0,/,/,AAguns,9,130,/,/,生命值: 98000吨位: 800000,45,,53,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 4.2最大后退速度: 2.8最大左翻滚速度: 0.1最大右翻滚速度: 0.1,43,星舰被发现距离: 220,41,???,0,???,0,???,0,???,0,/
窝星起源01_p,0,<color=Yellow>起源P</color>,远火巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,64961,10,35,160,800000,0.5,/,起源主炮,5,6,0.09,/,0,/,/,/,0,/,/,AAguns,9,130,/,/,生命值: 64961吨位: 800000,45,,26,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 3.5最大后退速度: 2.1最大左翻滚速度: 0.1最大右翻滚速度: 0.1,43,星舰被发现距离: 160,41,???,0,???,0,???,0,???,0,/
窝星起源01_导弹改,0,起源M,远火巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,64343,10,31.85,160,800000,0.5,/,起源主炮,5,15,0.15,单装导弹发射器,4,90,0,/,0,/,/,AAguns,9,130,/,/,生命值: 64343吨位: 800000,45,,23,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 3.185最大后退速度: 1.995最大左翻滚速度: 0.1最大右翻滚速度: 0.1,29,星舰被发现距离: 160,41,???,0,???,0,,45,???,0,/
窝星起源01_导弹改2,0,起源M2,远火巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,51669,10,31.85,220,800000,0.5,/,单装导弹发射器,4,70,0,/,0,/,/,/,0,/,/,AAguns,9,130,/,/,生命值: 51669吨位: 800000,45,???,0,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 3.185最大后退速度: 1.995最大左翻滚速度: 0.1最大右翻滚速度: 0.1,29,星舰被发现距离: 220,51,???,0,???,0,,74,???,0,/
窝星起源01_导弹改_愚,0,<color=Green>起源</color>,远火巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,79000,10,40.95,180,800000,0.5,/,起源主炮,5,15,0.15,单装导弹发射器,4,120,0,/,0,/,/,AAguns,9,130,/,/,生命值: 79000吨位: 800000,45,,23,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 4.095最大后退速度: 2.485最大左翻滚速度: 0.1最大右翻滚速度: 0.1,29,星舰被发现距离: 180,41,???,0,???,0,,45,???,0,/
窝星起源01烟雾,0,<color=Yellow>起源S</color>,远火巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,66659,10,40.95,190,800000,0.5,/,起源主炮,5,15,0.1,/,0,/,/,/,0,/,/,AAguns,9,130,/,/,生命值: 66659吨位: 800000,45,,53,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 4.095最大后退速度: 2.485最大左翻滚速度: 0.1最大右翻滚速度: 0.1,43,星舰被发现距离: 190,41,???,0,???,0,???,0,???,0,/
窝星起源02,0,窝星起源F,远火巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,76220,10,35,220,800000,0.5,/,2700 实弹炮 1型 N,5,12,0.1,/,0,/,/,/,0,/,/,AAguns,8,130,/,/,生命值: 76220吨位: 800000,36,,69,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 3.5最大后退速度: 2.275最大左翻滚速度: 0.1最大右翻滚速度: 0.1,21,星舰被发现距离: 220,24,???,0,???,0,???,0,???,0,/
窝星黄金起源,0,<color=Yellow>黄金起源</color>,远火巡洋舰,1,联合性质的实验舰船 虽然他是各国放下隔阂为联合署开发的一型泛用舰船 舰船通用化程度很高  但也因为如此该舰船的设计也并非为了参加高强度战争而设计的战争机器。 维护航道和清扫海盗以及执行维和行动是他的要务。,79000,10,40.95,180,800000,0.5,/,起源主炮,5,9.5,0.09,/,0,/,/,/,0,/,/,AAguns,9,130,/,/,生命值: 79000吨位: 800000,45,,53,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 4.095最大后退速度: 2.485最大左翻滚速度: 0.1最大右翻滚速度: 0.1,43,星舰被发现距离: 180,41,???,0,???,0,???,0,???,0,/
萨昂斯_A,0,萨昂斯_A,???,10,"泰坦联合体开发的一型远程支援型巡洋舰
狙击型号
加装了门超大口径的“劫火”轴炮，在有友舰提供火炮指引的情况下可以轻松地做到超远距离打击。
导弹型号
配备了大量的通用导弹阵列，可以在短时间内打出几十枚反旗舰导弹对敌方舰群造成饱和打击。但也因此，他并不适合前线抗线。",92288,10,17.5,210,800000,0.5,/,1200 光束炮 1型,5,6,1,激光轴炮 Variant,1,60,0,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
萨昂斯_B,0,萨昂斯_B,???,10,"泰坦联合体开发的一型远程支援型巡洋舰
狙击型号
加装了门超大口径的“劫火”轴炮，在有友舰提供火炮指引的情况下可以轻松地做到超远距离打击。
导弹型号
配备了大量的通用导弹阵列，可以在短时间内打出几十枚反旗舰导弹对敌方舰群造成饱和打击。但也因此，他并不适合前线抗线。",92288,10,17.5,210,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
萨昂斯_B PG1ZPB Variant,0,萨昂斯_B PG1ZPB Variant,???,10,"泰坦联合体开发的一型远程支援型巡洋舰
狙击型号
加装了门超大口径的“劫火”轴炮，在有友舰提供火炮指引的情况下可以轻松地做到超远距离打击。
导弹型号
配备了大量的通用导弹阵列，可以在短时间内打出几十枚反旗舰导弹对敌方舰群造成饱和打击。但也因此，他并不适合前线抗线。",92288,10,17.5,210,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
萨昂斯_B 轴炮改 Variant,0,萨昂斯_B 轴炮改 Variant,???,10,"泰坦联合体开发的一型远程支援型巡洋舰
狙击型号
加装了门超大口径的“劫火”轴炮，在有友舰提供火炮指引的情况下可以轻松地做到超远距离打击。
导弹型号
配备了大量的通用导弹阵列，可以在短时间内打出几十枚反旗舰导弹对敌方舰群造成饱和打击。但也因此，他并不适合前线抗线。",92288,10,17.5,210,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
试做4005,0,试做4005,???,9,装甲强力的战列舰,114514,10,17.5,210,800000,0.8,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
迁徙鸟,0,迁徙鸟,???,10,系和帝国的跃迁支援舰。可以为舰队提供跃迁指引和后期维护，通过她的引导，舰队可以快速部署在任意地区。舰船内部可以携带大量物资和舰船维护零件，可以同时停泊两艘舰船进行补给。虽然这是一艘后勤舰船，但是曾经有艘迁徙鸟将一颗巨大的陨石跃迁到了战场中对敌方造成了不小的麻烦。很令人费解的是，在太空中看上去，经常有人说他像一把枪？,60000,10,17.5,300,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
迁徙鸟 WZ0 疗1 Variant,0,迁徙鸟 WZ0 疗1 Variant,???,10,系和帝国的跃迁支援舰。可以为舰队提供跃迁指引和后期维护，通过她的引导，舰队可以快速部署在任意地区。舰船内部可以携带大量物资和舰船维护零件，可以同时停泊两艘舰船进行补给。虽然这是一艘后勤舰船，但是曾经有艘迁徙鸟将一颗巨大的陨石跃迁到了战场中对敌方造成了不小的麻烦。很令人费解的是，在太空中看上去，经常有人说他像一把枪？,60000,10,17.5,300,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
迁徙鸟 WZ1 Variant,0,迁徙鸟 WZ1 Variant,???,10,系和帝国的跃迁支援舰。可以为舰队提供跃迁指引和后期维护，通过她的引导，舰队可以快速部署在任意地区。舰船内部可以携带大量物资和舰船维护零件，可以同时停泊两艘舰船进行补给。虽然这是一艘后勤舰船，但是曾经有艘迁徙鸟将一颗巨大的陨石跃迁到了战场中对敌方造成了不小的麻烦。很令人费解的是，在太空中看上去，经常有人说他像一把枪？,60000,10,17.5,300,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
运输舰,0,运输舰,???,10,???,120000,10,17.5,400,2000000,0.1,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
锆山01,0,锆山01,远火巡洋舰,10,白羽帝国超重巡，在拥有近似战列的体格的同时还配备了极强的推进系统，使其拥有了超越同级别战舰的高航速能力，但也因为其巨大的外置引擎，锆山级的武器配置较为靠前，在尾部的防御相当薄弱,68000,10,35,175,800000,0.5,/,1200 光束炮 1型,6,9.5,0.09,单装导弹发射器,4,40,0,/,0,/,/,AAguns,2,130,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
